id,created_at,updated_at,is_watched,show_on,video_details_id_id,hotel_id_id,flag
63,"2018-03-28 12:50:37.673167","2018-03-28 12:50:37.672255",1,"2018-03-28 12:50:37.673179",57,1,T
64,"2018-03-28 12:52:00.544586","2018-03-28 12:52:00.543679",1,"2018-03-28 12:52:00.544598",160,1,T
65,"2018-05-07 09:52:38.103704","2018-03-29 11:13:02.446588",1,"2018-05-07 09:52:38.103750",2,1,T
66,"2018-05-07 09:52:38.211639","2018-03-29 11:13:02.456699",1,"2018-05-07 09:52:38.211691",35,1,T
67,"2018-05-07 09:52:38.315870","2018-03-29 11:13:02.465986",1,"2018-05-07 09:52:38.315925",37,1,T
68,"2018-05-07 09:52:38.418576","2018-04-03 05:06:26.153235",1,"2018-05-07 09:52:38.418631",2,2,T
69,"2018-05-07 09:52:39.131458","2018-04-03 05:06:26.163301",1,"2018-05-07 09:52:39.131503",35,2,T
70,"2018-05-07 09:52:39.234335","2018-04-03 05:06:26.172823",1,"2018-05-07 09:52:39.234378",37,2,T
71,"2018-05-07 09:52:39.338996","2018-04-03 10:59:28.908800",1,"2018-05-07 09:52:39.339045",2,1,T
72,"2018-05-07 09:52:39.445853","2018-04-03 10:59:28.919799",1,"2018-05-07 09:52:39.445899",35,1,T
73,"2018-05-07 09:52:39.557803","2018-04-03 10:59:28.928518",1,"2018-05-07 09:52:39.557849",37,1,T
74,"2018-04-03 13:01:57.595056","2018-04-03 13:01:57.594182",1,"2018-04-03 13:01:57.595068",144,1,T
75,"2018-05-07 09:52:39.674481","2018-04-04 04:41:26.641134",1,"2018-05-07 09:52:39.674528",80,2,T
76,"2018-05-07 09:52:39.780525","2018-04-05 05:50:01.536119",1,"2018-05-07 09:52:39.780570",2,2,R
77,"2018-05-07 09:52:39.887192","2018-04-05 05:50:01.546160",1,"2018-05-07 09:52:39.887235",35,2,R
78,"2018-05-07 09:52:40.067514","2018-04-05 05:50:01.555939",1,"2018-05-07 09:52:40.067558",37,2,R
79,"2018-05-07 09:52:40.171140","2018-04-05 05:50:01.569801",1,"2018-05-07 09:52:40.171185",36,2,R
80,"2018-05-07 09:52:40.274904","2018-04-05 05:50:01.584404",1,"2018-05-07 09:52:40.274950",29,2,T
81,"2018-05-07 09:52:40.377281","2018-04-05 05:50:01.594018",1,"2018-05-07 09:52:40.377297",30,2,T
82,"2018-05-07 09:52:40.480286","2018-04-05 05:50:01.604323",1,"2018-05-07 09:52:40.480331",32,2,T
83,"2018-05-07 09:52:40.585837","2018-04-05 05:50:01.614583",1,"2018-05-07 09:52:40.585881",33,2,T
84,"2018-05-07 09:52:40.689375","2018-04-05 05:50:01.629017",1,"2018-05-07 09:52:40.689421",8,2,T
85,"2018-04-21 09:24:46.059467","2018-04-21 09:24:46.058325",1,"2018-04-21 09:24:46.059482",9,2,T
86,"2018-05-07 09:52:40.794063","2018-04-05 05:50:01.655207",1,"2018-05-07 09:52:40.794108",23,2,R
87,"2018-05-07 09:52:40.901584","2018-04-05 05:50:01.669615",1,"2018-05-07 09:52:40.901630",18,2,R
88,"2018-05-07 09:52:41.023932","2018-04-05 05:50:01.679255",1,"2018-05-07 09:52:41.023993",19,2,R
89,"2018-05-07 09:52:41.128501","2018-04-05 05:50:01.692896",1,"2018-05-07 09:52:41.128546",7,2,R
90,"2018-05-07 09:52:41.278402","2018-04-05 05:50:01.702328",1,"2018-05-07 09:52:41.278461",10,2,R
91,"2018-04-25 07:15:50.509857","2018-04-25 07:15:50.509011",1,"2018-04-25 07:15:50.509871",14,2,R
92,"2018-04-25 07:11:14.761399","2018-04-25 07:11:14.760331",1,"2018-04-25 07:11:14.761412",15,2,R
93,"2018-04-25 07:19:03.176658","2018-04-25 07:19:03.175820",1,"2018-04-25 07:19:03.176672",12,2,R
95,"2018-05-07 09:52:41.382070","2018-04-05 05:50:01.769690",1,"2018-05-07 09:52:41.382120",11,2,R
96,"2018-05-07 09:52:41.484367","2018-04-05 05:50:01.779638",1,"2018-05-07 09:52:41.484409",25,2,R
