id,created_at,updated_at,subject,attribute,department,domain
103,"2018-03-09 19:46:55.614912",NULL,Quality,Quality,Housekeeping,"Room Making"
104,"2018-03-09 19:46:47.080185",NULL,Staff,Ambience,Hotel,Hotel
105,"2018-03-09 19:46:52.377950",NULL,Food,Cleanliness,"Food & Beverage",Maintenance
106,"2018-03-09 20:01:23.445045",NULL,Food,Quality,"Food & Beverage",Maintenance
108,"2018-03-09 19:47:22.755890",NULL,Quality,Integrity/Maintenance,Housekeeping,Maintenance
109,"2018-03-09 20:00:48.259941",NULL,Quality,Cleanliness,Housekeeping,Maintenance
110,"2018-03-09 19:47:23.154218",NULL,Quality,Quality,Housekeeping,Maintenance
111,"2018-03-09 20:00:48.701127",NULL,Quality,Integrity/Maintenance,Housekeeping,"Room Making"
113,"2018-03-09 19:46:56.814854",NULL,Quality,Value,Hotel,Hotel
114,"2018-03-09 19:47:19.965153",NULL,"Phone Call",Value,Hotel,Hotel
115,"2018-03-09 19:46:58.014940",NULL,Quality,Efficiency,Hotel,Hotel
116,"2018-03-09 20:01:04.576838",NULL,Beverage,Integrity/Maintenance,"Food & Beverage","Food Production"
117,"2018-03-09 19:46:59.618151",NULL,"Water Supply",Integrity/Maintenance,"Food & Beverage","Food Production"
118,"2018-03-09 20:01:05.949363",NULL,Beverage,Integrity/Maintenance,"Food & Beverage",Maintenance
119,"2018-03-09 19:47:00.457330",NULL,"Water Supply",Integrity/Maintenance,"Food & Beverage",Maintenance
120,"2018-03-09 20:01:27.611688",NULL,Beverage,Cleanliness,Housekeeping,"Food Production"
121,"2018-03-09 20:01:27.991612",NULL,"Water Supply",Cleanliness,Housekeeping,"Food Production"
122,"2018-03-09 20:01:28.362187",NULL,Beverage,Cleanliness,Housekeeping,"Room Making"
123,"2018-03-09 20:01:28.734439",NULL,"Water Supply",Cleanliness,Housekeeping,"Room Making"
124,"2018-03-09 19:47:04.305833",NULL,Beverage,Cleanliness,"Food & Beverage","Food Production"
125,"2018-03-09 20:01:29.184333",NULL,"Water Supply",Cleanliness,"Food & Beverage","Food Production"
126,"2018-03-09 20:01:29.564446",NULL,Beverage,Cleanliness,"Food & Beverage","Room Making"
127,"2018-03-09 20:01:29.934905",NULL,"Water Supply",Cleanliness,"Food & Beverage","Room Making"
128,"2018-03-09 19:47:05.925573",NULL,Appliances,Cleanliness,Housekeeping,"Room Making"
129,"2018-03-09 19:47:07.126166",NULL,Tableware,Integrity/Maintenance,"Food & Beverage",Maintenance
130,"2018-03-09 19:47:07.527950",NULL,Tableware,Ambience,Hotel,Hotel
131,"2018-03-09 19:47:07.938531",NULL,Tableware,Temperature,Hotel,Hotel
132,"2018-03-09 19:47:12.344540",NULL,Tableware,Cleanliness,Housekeeping,"Food Production"
133,"2018-03-09 19:47:12.744707",NULL,Tableware,Cleanliness,Housekeeping,"Room Making"
134,"2018-03-09 19:47:13.153346",NULL,Tableware,Cleanliness,"Food & Beverage","Food Production"
135,"2018-03-09 19:47:13.544993",NULL,Tableware,Cleanliness,"Food & Beverage","Room Making"
136,"2018-03-09 19:47:09.935264",NULL,Appliances,Availability,Hotel,Hotel
140,"2018-03-09 19:45:26.354950",NULL,Check-In,Efficiency,"Front Office",Check-in/Check-out
143,"2018-03-09 19:45:04.231595",NULL,Cleanliness,Quality,Hotel,Hotel
146,"2018-03-09 19:42:29.966557",NULL,Food,Availability,"Food & Beverage","Food Production"
149,"2018-03-09 19:42:30.364760",NULL,Appliances,Availability,Housekeeping,Maintenance
150,"2018-03-09 20:00:45.888778",NULL,Food,Variety,"Food & Beverage","Food Production"
153,"2018-03-09 19:47:15.956904",NULL,Pricing,Adequacy,"Front Office","Billing & Payment"
154,"2018-03-09 19:47:16.754156",NULL,"Phone Call",Courtesy,Hotel,Hotel
155,"2018-03-09 19:42:32.776731",NULL,Staff,Courtesy,Hotel,Hotel
